name	gene_id	biotype	cluster	chr	start	end
adprhl2	ENSDARG00000019338	protein_coding	Cluster133	17	31594891	31602303
adprm	ENSDARG00000026090	protein_coding	Cluster017	12	90491	93198
adra1d	ENSDARG00000024101	protein_coding	Cluster014	1	41256046	41281418
adra2b	ENSDARG00000102096	protein_coding	Cluster001	8	40605273	40606853
adra2c	ENSDARG00000069669	protein_coding	Cluster001	1	40289895	40291472
adrb2a	ENSDARG00000088124	protein_coding	Cluster152	14	34485151	34490301
adrbk2	ENSDARG00000104094	protein_coding	NA	10	44210506	44351611
adrm1	ENSDARG00000058560	protein_coding	NA	23	9626021	9632336
adsl	ENSDARG00000017049	protein_coding	Cluster076	3	24076695	24088079
adss	ENSDARG00000002071	protein_coding	Cluster004	13	11357478	11404476
adssl	ENSDARG00000012399	protein_coding	NA	21	26485876	26494840
adssl1	ENSDARG00000099517	protein_coding	Cluster001	17	663357	695526
aebp1	ENSDARG00000091726	protein_coding	Cluster051	10	2779932	2811020
aebp2	ENSDARG00000006038	protein_coding	Cluster035	4	2993088	3015195
afap1	ENSDARG00000055284	protein_coding	Cluster080	12	22702000	22797549
afap1l1a	ENSDARG00000089162	protein_coding	Cluster006	14	34222112	34293646
aff2	ENSDARG00000052242	protein_coding	Cluster001	14	20045308	20439680
aff3	ENSDARG00000079575	protein_coding	Cluster211	9	21679953	21715787
aff4	ENSDARG00000001857	protein_coding	Cluster002	21	43183641	43251697
afg3l2	ENSDARG00000062272	protein_coding	Cluster155	2	21794687	21811838
afp4	ENSDARG00000041490	protein_coding	Cluster086	16	45937437	45943334
afp4.1	ENSDARG00000095863	protein_coding	NA	16	45947764	45950606
aftpha	ENSDARG00000069249	protein_coding	Cluster046	1	54417663	54432263
aftphb	ENSDARG00000071347	protein_coding	Cluster002	17	24551587	24569309
aga	ENSDARG00000004889	protein_coding	Cluster003	14	36088127	36096935
agap1	ENSDARG00000062123	protein_coding	NA	6	15918463	16267588
agap2	ENSDARG00000099874	protein_coding	Cluster001	23	36552748	36602114
agbl5	ENSDARG00000045900	protein_coding	Cluster002	4	724091	747112
agfg1b	ENSDARG00000019526	protein_coding	Cluster227	2	16791731	16810701
aggf1	ENSDARG00000060109	protein_coding	Cluster008	21	8004117	8031230
agk	ENSDARG00000009837	protein_coding	NA	18	20543552	20551643
agla	ENSDARG00000103811	protein_coding	Cluster004	2	20814178	20868861
aglb	ENSDARG00000100352	protein_coding	Cluster001	24	29796382	29834762
agmo	ENSDARG00000025595	protein_coding	Cluster005	15	34476753	34560556
ago1	ENSDARG00000092644	protein_coding	Cluster006	16	51220329	51287850
ago2	ENSDARG00000061268	protein_coding	Cluster002	19	41894935	41914590
ago3b	ENSDARG00000063079	protein_coding	Cluster002	19	10742595	10767788
ago4	ENSDARG00000100854	protein_coding	Cluster003	19	48104155	48186562
agpat2	ENSDARG00000101139	protein_coding	Cluster106	21	7627452	7661673
agpat3	ENSDARG00000036549	protein_coding	NA	1	46143474	46184261
agpat5	ENSDARG00000063187	protein_coding	Cluster003	13	6130932	6151224
agps	ENSDARG00000042821	protein_coding	Cluster002	9	1587384	1637817
agr1	ENSDARG00000060682	protein_coding	NA	9	45790760	45802530
agr2	ENSDARG00000070480	protein_coding	Cluster022	19	30814138	30816783
agrn	ENSDARG00000079388	protein_coding	Cluster012	23	23559210	23988136
agrp2	ENSDARG00000099781	protein_coding	Cluster001	2	7549927	7560187
agt	ENSDARG00000016412	protein_coding	Cluster001	13	23857992	23866391
agtr2	ENSDARG00000035552	protein_coding	Cluster001	5	22738570	22745694
agtrap	ENSDARG00000077082	protein_coding	Cluster065	11	15905882	16105164
agxt2	ENSDARG00000100709	protein_coding	Cluster001	21	11046288	11083035
agxta	ENSDARG00000052099	protein_coding	Cluster001	6	27122323	27132766
agxtb	ENSDARG00000018478	protein_coding	Cluster005	2	23021092	23033000
ahctf1	ENSDARG00000077530	protein_coding	NA	17	12067406	12095924
ahcy	ENSDARG00000005191	protein_coding	NA	6	49927462	49967635
ahcyl1	ENSDARG00000056331	protein_coding	Cluster013	8	24952751	24992018
ahcyl2	ENSDARG00000039343	protein_coding	Cluster148	4	5017055	5083765
ahdc1	ENSDARG00000093453	protein_coding	Cluster004	19	43843804	43904702
ahnak	ENSDARG00000061764	protein_coding	Cluster033	14	26461227	26498229
ahr1b	ENSDARG00000023537	protein_coding	Cluster001	22	12954436	13018215
ahr2	ENSDARG00000021833	protein_coding	Cluster107	22	13021493	13140409
ahsa1b	ENSDARG00000100317	protein_coding	Cluster008	17	43736751	43749935
ahsg1	ENSDARG00000026764	protein_coding	Cluster005	22	37920796	37927972
ahsg2	ENSDARG00000069293	protein_coding	Cluster005	2	10336525	10343921
aida	ENSDARG00000014532	protein_coding	Cluster006	20	51918753	51941980
aif1l	ENSDARG00000009336	protein_coding	Cluster011	5	33949212	33975349
aifm1	ENSDARG00000058088	protein_coding	Cluster003	5	22046814	22069974
aifm4	ENSDARG00000061634	protein_coding	Cluster069	15	25503449	25513529
aig1	ENSDARG00000007171	protein_coding	Cluster001	20	37758350	37833886
aim1a	ENSDARG00000031782	protein_coding	Cluster050	17	25463075	25531858
aim1b	ENSDARG00000006060	protein_coding	NA	4	847996	885445
ajap1	ENSDARG00000038655	protein_coding	Cluster001	8	21556226	21639728
ajuba	ENSDARG00000077842	protein_coding	NA	7	23829001	23840289
ak1	ENSDARG00000001950	protein_coding	Cluster004	5	70925989	70948273
ak2	ENSDARG00000005926	protein_coding	NA	19	35831548	35841818
ak3	ENSDARG00000058226	protein_coding	Cluster017	10	11042656	11053762
ak5	ENSDARG00000012555	protein_coding	Cluster001	2	9047835	9261950
akap11	ENSDARG00000075435	protein_coding	Cluster045	9	17964223	17998920
akap12a	ENSDARG00000091792	protein_coding	Cluster001	17	7606452	7626410
akap12b	ENSDARG00000055678	protein_coding	Cluster007	20	26509747	26568217
akap17a	ENSDARG00000104768	protein_coding	Cluster002	9	56398882	56423275
akap1a	ENSDARG00000089802	protein_coding	Cluster002	10	37457080	37471465
akap1b	ENSDARG00000006062	protein_coding	Cluster008	15	30959652	30976609
akap6	ENSDARG00000077295	protein_coding	Cluster004	17	8831194	9109995
akap7	ENSDARG00000043843	protein_coding	Cluster137	20	2402637	2462287
akap8l	ENSDARG00000099635	protein_coding	Cluster221	1	58441190	58530322
akip1	ENSDARG00000069037	protein_coding	Cluster003	18	16961241	16964912
akirin1	ENSDARG00000039969	protein_coding	Cluster019	16	33167187	33186550
akirin2	ENSDARG00000058729	protein_coding	Cluster073	20	2699210	2709191
akna	ENSDARG00000087110	protein_coding	NA	21	13827143	13876016
akr1a1a	ENSDARG00000035257	protein_coding	Cluster207	5	40920886	40931476
akr1b1	ENSDARG00000006215	protein_coding	Cluster077	4	14901287	14907761
akt1s1	ENSDARG00000074667	protein_coding	Cluster009	3	30059577	30069715
akt2l	ENSDARG00000103612	protein_coding	NA	10	311920	321118
aktip	ENSDARG00000026862	protein_coding	Cluster003	7	36195838	36212201
alad	ENSDARG00000100372	protein_coding	NA	5	53836383	53850726
alas2	ENSDARG00000038643	protein_coding	NA	8	21321758	21338179
alcama	ENSDARG00000026531	protein_coding	Cluster080	10	28845124	28949177
alcamb	ENSDARG00000058538	protein_coding	Cluster064	15	19902726	19943255
aldh16a1	ENSDARG00000037935	protein_coding	Cluster006	3	31948689	31966801
aldh18a1	ENSDARG00000099579	protein_coding	Cluster010	12	30674010	30694031
aldh1a3	ENSDARG00000076933	protein_coding	Cluster130	7	9476221	9557990
aldh1l1	ENSDARG00000077004	protein_coding	NA	6	20008589	20042102
aldh2.1	ENSDARG00000089924	protein_coding	Cluster075	5	68802115	68848178
aldh3a1	ENSDARG00000074791	protein_coding	Cluster002	15	20864211	20870463
aldh3a2a	ENSDARG00000028259	protein_coding	Cluster006	15	20894936	20904031
aldh3a2b	ENSDARG00000029381	protein_coding	Cluster158	21	38984761	39013538
aldh4a1	ENSDARG00000038207	protein_coding	NA	11	41324318	41350502
aldh5a1	ENSDARG00000076544	protein_coding	Cluster001	16	36977651	36991883
aldh6a1	ENSDARG00000053485	protein_coding	NA	17	44959414	44993527
aldoaa	ENSDARG00000011665	protein_coding	NA	3	39425141	39435194
aldoab	ENSDARG00000034470	protein_coding	Cluster022	12	4015415	4033293
aldob	ENSDARG00000053684	protein_coding	NA	14	20809199	20817949
aldoca	ENSDARG00000057661	protein_coding	Cluster001	15	16143564	16162509
aldocb	ENSDARG00000019702	protein_coding	Cluster001	21	39585912	39616539
alg1	ENSDARG00000054963	protein_coding	Cluster002	3	28729441	28738798
alg11	ENSDARG00000031202	protein_coding	Cluster002	1	28947006	28957155
alg13	ENSDARG00000054374	protein_coding	Cluster099	21	34199002	34227294
alg2	ENSDARG00000070399	protein_coding	NA	16	27281315	27289623
alg3	ENSDARG00000053155	protein_coding	Cluster002	2	45119722	45128346
alg5	ENSDARG00000061235	protein_coding	Cluster002	10	35040751	35058871
alg6	ENSDARG00000017617	protein_coding	Cluster010	6	32078180	32100197
alg8	ENSDARG00000044627	protein_coding	Cluster173	21	22855862	22887702
alk	ENSDARG00000095833	protein_coding	Cluster001	17	47102321	47219486
alkbh1	ENSDARG00000071164	protein_coding	NA	17	17745143	17755767
alkbh2	ENSDARG00000059856	protein_coding	Cluster006	5	41199743	41204245
alkbh4	ENSDARG00000052247	protein_coding	Cluster003	5	60782897	60788045
alkbh5	ENSDARG00000063003	protein_coding	NA	1	7824642	7832484
alkbh6	ENSDARG00000077253	protein_coding	Cluster021	5	36049911	36054545
alkbh7	ENSDARG00000037906	protein_coding	NA	3	33789002	33792642
alkbh8	ENSDARG00000060256	protein_coding	Cluster003	16	42206032	42225585
allc	ENSDARG00000042562	protein_coding	Cluster001	20	30452557	30468048
alms1	ENSDARG00000074779	protein_coding	Cluster003	13	9036596	9074136
alox5b.3	ENSDARG00000069966	protein_coding	NA	15	631450	643550
alp3	ENSDARG00000098063	protein_coding	Cluster005	15	44598837	44617951
alpi.2	ENSDARG00000053774	protein_coding	Cluster005	22	38791904	38806070
alpk2	ENSDARG00000079637	protein_coding	NA	21	10773793	10787937
alpk3a	ENSDARG00000078989	protein_coding	Cluster033	18	26737409	26770761
als2a	ENSDARG00000075111	protein_coding	Cluster032	9	13657452	13705602
als2b	ENSDARG00000076924	protein_coding	Cluster002	6	9558235	9625700
alx4a	ENSDARG00000088332	protein_coding	Cluster004	7	26622211	26653567
alyref	ENSDARG00000077732	protein_coding	Cluster011	3	59589107	59599428
amacr	ENSDARG00000057435	protein_coding	Cluster006	21	19381961	19404981
ambp	ENSDARG00000004296	protein_coding	Cluster049	10	10843326	10865634
ambra1a	ENSDARG00000008322	protein_coding	Cluster002	7	38984523	39089308
ambra1b	ENSDARG00000039878	protein_coding	Cluster002	25	7764651	7794434
amd1	ENSDARG00000043856	protein_coding	Cluster164	20	2937165	2966128
amdhd2	ENSDARG00000100376	protein_coding	Cluster003	3	13369691	13396326
amer1	ENSDARG00000079624	protein_coding	Cluster002	5	21510627	21515261
amer2	ENSDARG00000075222	protein_coding	Cluster016	24	24924435	24927858
amfr	ENSDARG00000020218	protein_coding	Cluster002	25	35648014	35667844
amigo1	ENSDARG00000079620	protein_coding	Cluster001	8	25097680	25101092
amigo3	ENSDARG00000074469	protein_coding	Cluster001	22	34454251	34488269
ammecr1	ENSDARG00000012892	protein_coding	Cluster011	21	44685034	44707619
amn	ENSDARG00000062947	protein_coding	Cluster059	3	56808754	56810392
amot	ENSDARG00000078335	protein_coding	Cluster006	21	37791846	37865664
ampd1	ENSDARG00000033832	protein_coding	Cluster001	8	11042866	11074353
ampd2a	ENSDARG00000104491	protein_coding	Cluster077	22	1186157	1228328
ampd3a	ENSDARG00000005800	protein_coding	Cluster020	7	66612828	66644895
ampd3b	ENSDARG00000032469	protein_coding	Cluster005	18	16773233	16806734
amph	ENSDARG00000007663	protein_coding	Cluster001	2	31907811	31953867
amy2a	ENSDARG00000013856	protein_coding	Cluster005	2	15944165	15958382
anapc1	ENSDARG00000075687	protein_coding	NA	13	46717298	46885834
anapc10	ENSDARG00000090152	protein_coding	Cluster195	23	43916597	43922406
anapc11	ENSDARG00000102531	protein_coding	Cluster140	6	21773751	21779536
anapc13	ENSDARG00000078435	protein_coding	Cluster003	21	24499628	24500456
anapc15	ENSDARG00000101285	protein_coding	Cluster003	15	46895634	46900156
anapc2	ENSDARG00000105035	protein_coding	NA	5	53908970	53933971
anapc4	ENSDARG00000032237	protein_coding	Cluster078	20	23576281	23595612
anapc5	ENSDARG00000008461	protein_coding	NA	8	40152702	40171278
anapc7	ENSDARG00000063005	protein_coding	Cluster055	8	11708778	11732387
and1	ENSDARG00000088514	protein_coding	Cluster004	24	26134462	26138318
and2	ENSDARG00000079302	protein_coding	Cluster001	2	31779986	31784434
and3	ENSDARG00000056873	protein_coding	Cluster001	10	22879104	22885306
angel1	ENSDARG00000077567	protein_coding	Cluster006	17	52526597	52543831
angel2	ENSDARG00000016743	protein_coding	Cluster002	20	38017217	38031457
angptl1a	ENSDARG00000012071	protein_coding	Cluster001	20	16082899	16108053
angptl2a	ENSDARG00000024030	protein_coding	Cluster145	5	4372659	4404631
angptl2b	ENSDARG00000068369	protein_coding	Cluster048	8	33010683	33042174
angptl3	ENSDARG00000044365	protein_coding	Cluster050	6	32357283	32362239
angptl4	ENSDARG00000035859	protein_coding	Cluster014	2	24881111	24886867
angptl6	ENSDARG00000020265	protein_coding	Cluster038	3	54269625	54296045
angptl7	ENSDARG00000027582	protein_coding	NA	8	46209982	46213417
ank1a	ENSDARG00000092143	protein_coding	Cluster004	5	68129839	68157061
ank1b	ENSDARG00000074777	protein_coding	Cluster001	21	20990739	21053193
ank2b	ENSDARG00000043313	protein_coding	Cluster004	7	57583734	57796505
ank3a	ENSDARG00000061736	protein_coding	Cluster004	17	20680225	20877630
ank3b	ENSDARG00000077582	protein_coding	Cluster004	12	7612388	7902807
ankdd1a	ENSDARG00000098647	protein_coding	Cluster002	7	13329536	13452776
ankha	ENSDARG00000071724	protein_coding	Cluster002	24	10208761	10253891
ankhd1	ENSDARG00000077860	protein_coding	Cluster151	21	26355058	26446542
ankib1a	ENSDARG00000060768	protein_coding	Cluster002	19	44310098	44365180
ankib1b	ENSDARG00000076829	protein_coding	Cluster002	16	16133666	16212964
ankle2	ENSDARG00000035607	protein_coding	Cluster002	5	18439251	18459002
ankmy2a	ENSDARG00000005948	protein_coding	Cluster002	15	34715342	34732851
ankrd11	ENSDARG00000051886	protein_coding	Cluster019	7	55883482	56108603
ankrd12	ENSDARG00000052419	protein_coding	Cluster072	2	54966494	55053809
ankrd13a	ENSDARG00000061901	protein_coding	Cluster002	5	19429524	19452426
ankrd13b	ENSDARG00000014652	protein_coding	Cluster004	15	28549986	28606774
ankrd13c	ENSDARG00000103831	protein_coding	Cluster003	11	45024959	45042768
ankrd13d	ENSDARG00000098140	protein_coding	Cluster165	14	21485402	21519461
ankrd1b	ENSDARG00000076192	protein_coding	Cluster001	12	16391898	16397563
ankrd22	ENSDARG00000002298	protein_coding	Cluster002	12	17032781	17036761
ankrd24	ENSDARG00000062103	protein_coding	Cluster001	22	21334186	21368145
ankrd28b	ENSDARG00000009023	protein_coding	Cluster003	16	20250042	20346917
ankrd31	ENSDARG00000052731	protein_coding	Cluster064	5	50355422	50364494
ankrd33aa	ENSDARG00000055638	protein_coding	Cluster001	23	27936266	27948599
ankrd33ba	ENSDARG00000058357	protein_coding	Cluster001	24	21911212	21914627
ankrd44	ENSDARG00000026028	protein_coding	Cluster045	9	32295582	32347740
ankrd46b	ENSDARG00000015780	protein_coding	Cluster004	7	50635889	50642178
ankrd49	ENSDARG00000023508	protein_coding	Cluster003	15	2887692	2894167
ankrd52a	ENSDARG00000036826	protein_coding	Cluster002	23	32435554	32464211
ankrd6b	ENSDARG00000029370	protein_coding	Cluster185	20	1182326	1218777
ankrd9	ENSDARG00000028804	protein_coding	Cluster001	17	29259581	29260768
anks1ab	ENSDARG00000078901	protein_coding	Cluster001	6	54350421	54414557
anks1b	ENSDARG00000003512	protein_coding	Cluster001	4	17895551	18212788
anks3	ENSDARG00000038557	protein_coding	Cluster060	24	37677118	37798123
anks4b	ENSDARG00000036846	protein_coding	Cluster154	3	60354303	60387724
anln	ENSDARG00000060917	protein_coding	Cluster002	19	35846035	35863542
ano1	ENSDARG00000102335	protein_coding	Cluster003	7	54052996	54160853
ano11	ENSDARG00000077327	protein_coding	Cluster001	23	24243364	24269172
ano2	ENSDARG00000101363	protein_coding	Cluster001	4	4263709	4350027
ano3	ENSDARG00000058015	protein_coding	Cluster002	25	34840417	34963616
ano5a	ENSDARG00000015731	protein_coding	Cluster001	25	34684597	34739284
ano5b	ENSDARG00000036147	protein_coding	Cluster002	7	32562991	32624518
ano9a	ENSDARG00000076320	protein_coding	Cluster001	25	34650660	34677389
ano9a.1	ENSDARG00000078941	protein_coding	Cluster007	25	34650718	34651914
anos1a	ENSDARG00000012896	protein_coding	Cluster001	1	31210393	31246942
anos1b	ENSDARG00000004932	protein_coding	Cluster012	22	38837166	38927144
anp32a	ENSDARG00000006487	protein_coding	Cluster060	7	33074474	33080382
anp32b	ENSDARG00000023330	protein_coding	Cluster025	1	25966643	25971141
anp32e	ENSDARG00000054804	protein_coding	NA	19	42758986	42772378
anpepa	ENSDARG00000041083	protein_coding	Cluster005	18	21088462	21108597
anpepb	ENSDARG00000103878	protein_coding	Cluster005	25	10714755	10730975
antxr1b	ENSDARG00000074075	protein_coding	Cluster005	10	41052466	41125589
antxr1c	ENSDARG00000063612	protein_coding	Cluster079	12	2642570	2709913
antxr2a	ENSDARG00000104118	protein_coding	Cluster001	5	38786315	38873831
antxr2b	ENSDARG00000063011	protein_coding	Cluster001	10	9361631	9386104
anxa11a	ENSDARG00000077383	protein_coding	NA	13	16148898	16195606
anxa13	ENSDARG00000013976	protein_coding	Cluster013	24	6331094	6346445
anxa1a	ENSDARG00000026726	protein_coding	NA	5	24978028	24983172
anxa1c	ENSDARG00000104359	protein_coding	NA	5	64320767	64332739
anxa2a	ENSDARG00000003216	protein_coding	NA	25	33527666	33541952
anxa2b	ENSDARG00000053625	protein_coding	NA	7	29247248	29262851
anxa3a	ENSDARG00000009196	protein_coding	Cluster075	5	38487211	38495470
anxa4	ENSDARG00000036456	protein_coding	Cluster001	10	41237313	41270953
anxa5a	ENSDARG00000026406	protein_coding	Cluster001	14	47423685	47447115
aoc1	ENSDARG00000061355	protein_coding	Cluster005	24	40113443	40121599
aoc2	ENSDARG00000014646	protein_coding	NA	3	32792471	32802645
aox5	ENSDARG00000071475	protein_coding	NA	22	14058680	14090589
ap1b1	ENSDARG00000020621	protein_coding	NA	5	24252696	24308975
ap1g1	ENSDARG00000102394	protein_coding	Cluster002	7	68995766	69115102
ap1g2	ENSDARG00000054337	protein_coding	Cluster002	2	38306420	38330174
ap1m2	ENSDARG00000096454	protein_coding	Cluster003	6	94528	436629
ap1s1	ENSDARG00000056803	protein_coding	Cluster082	7	25973869	25992013
ap1s3b	ENSDARG00000027966	protein_coding	Cluster002	2	47733074	47766642
ap2a1	ENSDARG00000054320	protein_coding	NA	3	32234097	32269767
ap2m1a	ENSDARG00000002790	protein_coding	Cluster133	2	9991991	10020891
ap2s1	ENSDARG00000026967	protein_coding	Cluster189	15	8791579	8823906
ap3m2	ENSDARG00000016128	protein_coding	Cluster022	5	13874891	13890228
ap4e1	ENSDARG00000103684	protein_coding	Cluster002	25	4729121	4759581
ap5b1	ENSDARG00000078805	protein_coding	Cluster003	11	38850394	38856975
ap5m1	ENSDARG00000031533	protein_coding	Cluster002	17	44327273	44340257
ap5z1	ENSDARG00000078111	protein_coding	Cluster002	3	40734695	40755069
apba1b	ENSDARG00000074328	protein_coding	Cluster004	10	15819093	15855160
apba2b	ENSDARG00000060639	protein_coding	Cluster004	7	30552697	30644815
apbb2b	ENSDARG00000099995	protein_coding	Cluster012	1	19237583	19296647
apc	ENSDARG00000058868	protein_coding	NA	10	1822160	1865381
apc2	ENSDARG00000063007	protein_coding	Cluster001	11	7271091	7310372
apcdd1l	ENSDARG00000075557	protein_coding	Cluster043	6	49652223	49674823
apela	ENSDARG00000094729	protein_coding	Cluster007	1	18975010	18980963
apex1	ENSDARG00000045843	protein_coding	Cluster196	4	5325418	5655206
apex2	ENSDARG00000008472	protein_coding	Cluster003	8	22489568	22493679
aph1b	ENSDARG00000005612	protein_coding	Cluster003	7	28905774	28915786
api5	ENSDARG00000033597	protein_coding	Cluster028	25	29688048	29709032
apip	ENSDARG00000003132	protein_coding	Cluster015	7	49628690	49635865
apitd1	ENSDARG00000070485	protein_coding	Cluster120	6	45932800	45935118
apln	ENSDARG00000053279	protein_coding	Cluster013	14	33382636	33417401
aplnr2	ENSDARG00000004447	protein_coding	Cluster228	7	38414494	38418304
aplnra	ENSDARG00000002172	protein_coding	Cluster007	8	40286105	40287812
aplnrb	ENSDARG00000036670	protein_coding	Cluster007	10	8670575	8672661
aplp1	ENSDARG00000098368	protein_coding	Cluster001	15	37204506	37328812
apoa1a	ENSDARG00000012076	protein_coding	Cluster207	5	37378348	37381368
apoa1b	ENSDARG00000101324	protein_coding	Cluster036	15	31389	33853
apoa1bp	ENSDARG00000058806	protein_coding	Cluster131	19	7489310	7493722
apoa2	ENSDARG00000015866	protein_coding	Cluster036	16	24063946	24065322
apoa4a	ENSDARG00000101160	protein_coding	Cluster214	19	10927028	10931909
apoa4b.1	ENSDARG00000040298	protein_coding	Cluster036	16	23999038	24000948
apoa4b.2	ENSDARG00000020866	protein_coding	NA	16	23999187	24033538
apoba	ENSDARG00000042780	protein_coding	Cluster143	17	30687105	30711003
apobb.1	ENSDARG00000022767	protein_coding	Cluster143	20	31366899	31382011
apobb.2	ENSDARG00000075016	protein_coding	NA	20	53634248	53664835
apobec2a	ENSDARG00000018881	protein_coding	Cluster095	22	603619	613996
apoc2	ENSDARG00000092155	protein_coding	Cluster036	16	24069723	24076129
apoc4	ENSDARG00000075614	protein_coding	Cluster005	16	24060898	24062096
apoda.1	ENSDARG00000060345	protein_coding	Cluster001	2	37225342	37227940
apoda.2	ENSDARG00000060350	protein_coding	Cluster005	2	37225004	37233532
apodb	ENSDARG00000057437	protein_coding	Cluster013	24	26161321	26183680
apoea	ENSDARG00000102004	protein_coding	Cluster004	19	10936233	10940769
apoeb	ENSDARG00000040295	protein_coding	Cluster021	16	24045712	24048429
apof	ENSDARG00000090980	protein_coding	Cluster001	6	39164758	39170196
apol1	ENSDARG00000007425	protein_coding	Cluster001	2	37985657	37992397
apom	ENSDARG00000076838	protein_coding	NA	2	42379323	42385143
apoob	ENSDARG00000026444	protein_coding	Cluster094	24	21833056	21844232
apool	ENSDARG00000039374	protein_coding	Cluster002	5	22348057	22364850
apopt1	ENSDARG00000092473	protein_coding	Cluster002	13	15669750	15683784
appa	ENSDARG00000104279	protein_coding	Cluster031	1	622441	661520
appb	ENSDARG00000055543	protein_coding	Cluster001	9	35217230	35260592
appbp2	ENSDARG00000007566	protein_coding	Cluster002	15	23986999	24007596
appl2	ENSDARG00000078139	protein_coding	NA	25	5631895	5689334
aptx	ENSDARG00000027143	protein_coding	Cluster235	1	52018883	52024997
aqp10a	ENSDARG00000007086	protein_coding	Cluster005	16	22373353	22378875
aqp12	ENSDARG00000043279	protein_coding	Cluster050	22	2857785	2870671
aqp1a.1	ENSDARG00000023713	protein_coding	Cluster004	2	2895633	2907365
aqp3a	ENSDARG00000003808	protein_coding	Cluster049	5	42406269	42411661
aqp8a.1	ENSDARG00000045141	protein_coding	Cluster001	12	20244235	20251184
aqp8a.2	ENSDARG00000071592	protein_coding	Cluster001	12	20233265	20240187
aqp8b	ENSDARG00000089749	protein_coding	Cluster034	3	18422539	18426128
aqp9b	ENSDARG00000053480	protein_coding	Cluster001	7	30100743	30118129
aqr	ENSDARG00000016775	protein_coding	Cluster144	17	50930341	51032977
araf	ENSDARG00000054533	protein_coding	Cluster108	5	26254806	26269239
arap3	ENSDARG00000076801	protein_coding	NA	14	26268831	26328025
arcn1a	ENSDARG00000002792	protein_coding	Cluster002	5	29902096	29916493
arcn1b	ENSDARG00000031214	protein_coding	Cluster002	15	18166258	18179602
arf1	ENSDARG00000009484	protein_coding	Cluster068	2	3220758	3235048
arf2b	ENSDARG00000016393	protein_coding	NA	24	36503968	36511199
arf3a	ENSDARG00000070539	protein_coding	Cluster001	23	27695084	27707189
arf3b	ENSDARG00000036998	protein_coding	Cluster001	6	7283623	7295534
arf4a	ENSDARG00000045989	protein_coding	Cluster144	11	42203969	42212378
arf6a	ENSDARG00000101626	protein_coding	Cluster003	20	54525232	54527311
arf6b	ENSDARG00000052928	protein_coding	Cluster058	17	45748613	45751207
arfgap2	ENSDARG00000067601	protein_coding	Cluster008	18	44856355	44880880
arfgap3	ENSDARG00000097583	protein_coding	Cluster002	4	76572909	76580808
arfgef1	ENSDARG00000063474	protein_coding	Cluster162	24	18592497	18732699
arfgef2	ENSDARG00000074702	protein_coding	Cluster002	23	19059672	19125589
arfgef3	ENSDARG00000077656	protein_coding	NA	13	2154290	2211184
arfip1	ENSDARG00000070055	protein_coding	Cluster002	1	24751870	24795742
arfip2a	ENSDARG00000059244	protein_coding	Cluster155	15	32391083	32409327
arfip2b	ENSDARG00000056664	protein_coding	Cluster002	10	26244066	26263965
arg1	ENSDARG00000057429	protein_coding	Cluster005	12	9559308	9579927
arglu1b	ENSDARG00000018319	protein_coding	NA	1	6978658	6989943
arhgap1	ENSDARG00000024324	protein_coding	NA	7	38490785	38514487
arhgap10	ENSDARG00000078326	protein_coding	Cluster003	1	36039911	36180662
arhgap11a	ENSDARG00000100019	protein_coding	Cluster028	17	92794	114131
arhgap17a	ENSDARG00000020488	protein_coding	Cluster002	12	20290585	20363558
arhgap19	ENSDARG00000083189	protein_coding	Cluster003	22	34984597	35003428
arhgap21a	ENSDARG00000104295	protein_coding	Cluster122	24	6481872	6617946
arhgap21b	ENSDARG00000075673	protein_coding	NA	2	12619532	12723869
arhgap23a	ENSDARG00000052950	protein_coding	Cluster014	3	39171184	39313570
arhgap23b	ENSDARG00000026840	protein_coding	Cluster001	12	15434804	15519562
arhgap24	ENSDARG00000100973	protein_coding	Cluster002	21	9639181	9863301
arhgap27	ENSDARG00000104255	protein_coding	NA	12	4936558	5009974
arhgap29a	ENSDARG00000026329	protein_coding	Cluster085	24	28364388	28478142
arhgap31	ENSDARG00000059472	protein_coding	Cluster004	5	66992838	67042999
arhgap33	ENSDARG00000011333	protein_coding	Cluster002	16	44816946	44911539
arhgap35	ENSDARG00000060297	protein_coding	Cluster002	5	37264552	37281192
arhgap4a	ENSDARG00000039265	protein_coding	Cluster002	23	25062846	25088852
arhgap4b	ENSDARG00000015003	protein_coding	Cluster253	23	18688895	18761152
arhgdig	ENSDARG00000004034	protein_coding	Cluster012	3	27582768	27638390
arhgef10	ENSDARG00000077788	protein_coding	NA	17	25178779	25264318
arhgef10la	ENSDARG00000088630	protein_coding	Cluster012	11	29083968	29316263
arhgef10lb	ENSDARG00000074244	protein_coding	Cluster012	23	21610776	21708782
arhgef15	ENSDARG00000100293	protein_coding	Cluster001	5	53464326	53514388
arhgef16	ENSDARG00000077114	protein_coding	Cluster002	8	47108567	47153470
arhgef18b	ENSDARG00000042308	protein_coding	Cluster002	22	10780975	10861531
arhgef19	ENSDARG00000078853	protein_coding	Cluster147	23	24211336	24240819
arhgef1a	ENSDARG00000040380	protein_coding	NA	19	11121519	11188317
arhgef1b	ENSDARG00000055837	protein_coding	Cluster002	16	26267453	26358969
arhgef2	ENSDARG00000075819	protein_coding	Cluster227	16	6923930	6992500
arhgef25b	ENSDARG00000014465	protein_coding	Cluster089	6	39258634	39278385
arhgef28	ENSDARG00000060415	protein_coding	Cluster002	5	34228553	34364677
