FIELD	zmp_ph131_B	zmp_ph131_C	zmp_ph131_D	zmp_ph131_E	zmp_ph131_F	zmp_ph130_B	zmp_ph130_C	zmp_ph130_D	zmp_ph130_E	zmp_ph130_F	zmp_ph133_B	zmp_ph133_D	zmp_ph133_E	zmp_ph133_F	zmp_ph133_G	zmp_ph128_B	zmp_ph128_C	zmp_ph128_D	zmp_ph128_E	zmp_ph128_F	zmp_ph125_B	zmp_ph125_C	zmp_ph125_D	zmp_ph125_E	zmp_ph125_F	zmp_ph126_B	zmp_ph126_C	zmp_ph126_D	zmp_ph126_E	zmp_ph126_F	zmp_ph115_B	zmp_ph115_C	zmp_ph115_D	zmp_ph115_E	zmp_ph115_F	zmp_ph124_B	zmp_ph124_C	zmp_ph124_D	zmp_ph124_E	zmp_ph124_F	zmp_ph129_B	zmp_ph129_C	zmp_ph129_D	zmp_ph129_E	zmp_ph129_G	zmp_ph121_A	zmp_ph121_B	zmp_ph121_C	zmp_ph121_D	zmp_ph121_E	zmp_ph122_A	zmp_ph122_B	zmp_ph122_C	zmp_ph122_D	zmp_ph122_F	zmp_ph127_B	zmp_ph127_C	zmp_ph127_D	zmp_ph127_E	zmp_ph127_F	zmp_ph119_A	zmp_ph119_B	zmp_ph119_C	zmp_ph119_D	zmp_ph119_E	zmp_ph116_A	zmp_ph116_B	zmp_ph116_C	zmp_ph116_D	zmp_ph116_F	zmp_ph117_A	zmp_ph117_C	zmp_ph117_D	zmp_ph117_E	zmp_ph117_F	zmp_ph118_B	zmp_ph118_C	zmp_ph118_D	zmp_ph118_E	zmp_ph118_F	zmp_ph120_A	zmp_ph120_B	zmp_ph120_C	zmp_ph120_D	zmp_ph120_E	zmp_ph123_B	zmp_ph123_C	zmp_ph123_D	zmp_ph123_F	zmp_ph123_G
AggregateGenes_WithReads	16944	17072	16221	16282	16214	18972	18347	18441	18878	18693	14237	13935	14040	14137	13764	14971	14812	14791	14978	15372	18587	18777	18958	19009	18852	19045	19379	19641	19215	19533	17935	17794	17674	17494	17115	16981	17027	17019	17043	16686	16051	15930	16398	16165	16047	21394	21267	21643	21419	21357	21150	21353	21394	21154	21127	17553	18026	17718	17646	17683	20068	19997	20216	20225	20355	19325	19266	20441	20236	19249	19552	19166	19668	19724	19912	20088	20204	19720	19748	19663	21048	20941	21183	21179	20939	16719	16969	17285	17234	17078
SpliceLoci	285296	284686	274852	275481	274465	274860	270603	270971	273666	272186	273392	271512	271579	274182	270618	272216	271502	272774	271659	275621	269913	270869	271063	272310	271577	270070	272239	272458	271129	272401	274962	275439	274514	272657	270984	271683	271827	271427	271703	270283	277539	274072	279182	277908	275311	273481	272306	275306	273433	273397	271593	272406	272817	271733	271133	273019	275788	273415	274058	276378	270218	270027	271166	271020	271952	269710	269527	276017	274587	269205	269801	269113	270291	270454	271778	272189	273360	270803	270537	270036	272284	271990	272820	273126	271368	271706	272617	273635	273364	271480
SpliceLoci_Known	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415	258415
SpliceLoci_Known_NoReads	141406	139215	147872	145560	145801	150813	158547	156549	151993	156484	170308	173458	173462	173945	180694	166681	165628	164312	163327	160494	162659	161690	155729	154130	156019	156046	149317	144404	146354	142477	166304	166163	163994	163652	170833	167456	167120	170653	171487	170739	143473	146946	141223	146250	145750	120215	124833	115254	121131	121625	129854	127558	124916	130746	132544	155301	150994	159006	151876	151851	142205	143430	135756	139289	139808	146133	148935	130466	135007	148669	146063	162161	140704	142590	137645	139694	135531	145812	144967	148073	129204	128090	126114	125399	138237	173829	170124	165767	166793	170999
SpliceLoci_Known_FewReads	27468	26848	29309	29258	28924	40805	41697	41701	40451	40598	30641	30793	30723	30626	30947	32897	32674	32279	32782	32314	43150	41775	42969	42241	42513	44818	45975	45641	47068	46039	36338	36273	36090	37018	36143	33813	34448	33692	34206	34472	27497	29624	26872	28974	29281	66887	67017	64291	65721	66081	67774	68182	67384	68111	68289	36214	35155	35990	35146	34384	57831	57098	57923	56578	54750	50613	50188	47718	47735	50490	52441	46557	54184	53416	52805	52771	50925	52173	52335	52740	63216	64376	62570	63081	59897	33493	34006	34223	34154	33809
SpliceLoci_Known_ManyReads	89541	92352	81234	83597	83690	66797	58171	60165	65971	61333	57466	54164	54230	53844	46774	58837	60113	61824	62306	65607	52606	54950	59717	62044	59883	57551	63123	68370	64993	69899	55773	55979	58331	57745	51439	57146	56847	54070	52722	53204	87445	81845	90320	83191	83384	71313	66565	78870	71563	70709	60787	62675	66115	59558	57582	66900	72266	63419	71393	72180	58379	57887	64736	62548	63857	61669	59292	80231	75673	59256	59911	49697	63527	62409	67965	65950	71959	60430	61113	57602	65995	65949	69731	69935	60281	51093	54285	58425	57468	53607
SpliceLoci_Novel	26881	26271	16437	17066	16050	16445	12188	12556	15251	13771	14977	13097	13164	15767	12203	13801	13087	14359	13244	17206	11498	12454	12648	13895	13162	11655	13824	14043	12714	13986	16547	17024	16099	14242	12569	13268	13412	13012	13288	11868	19124	15657	20767	19493	16896	15066	13891	16891	15018	14982	13178	13991	14402	13318	12718	14604	17373	15000	15643	17963	11803	11612	12751	12605	13537	11295	11112	17602	16172	10790	11386	10698	11876	12039	13363	13774	14945	12388	12122	11621	13869	13575	14405	14711	12953	13291	14202	15220	14949	13065
SpliceLoci_Novel_FewReads	22210	21508	13341	13667	12785	13667	10180	10466	12626	11374	12089	10652	10659	12862	10076	11215	10541	11659	10644	14026	9579	10245	10436	11412	10860	9653	11407	11453	10470	11409	13910	14336	13535	11935	10546	11042	11164	10755	11071	9909	15383	12392	16533	15892	13498	12127	11298	13550	12165	12142	10675	11355	11589	10828	10459	12012	14403	12452	12878	14818	9652	9506	10337	10221	10955	9296	9174	14232	13139	8865	9328	8707	9684	9882	10881	11267	12060	10116	9879	9472	11320	11134	11797	12081	10776	11068	11799	12526	12401	10822
SpliceLoci_Novel_ManyReads	4671	4763	3096	3399	3265	2778	2008	2090	2625	2397	2888	2445	2505	2905	2127	2586	2546	2700	2600	3180	1919	2209	2212	2483	2302	2002	2417	2590	2244	2577	2637	2688	2564	2307	2023	2226	2248	2257	2217	1959	3741	3265	4234	3601	3398	2939	2593	3341	2853	2840	2503	2636	2813	2490	2259	2592	2970	2548	2765	3145	2151	2106	2414	2384	2582	1999	1938	3370	3033	1925	2058	1991	2192	2157	2482	2507	2885	2272	2243	2149	2549	2441	2608	2630	2177	2223	2403	2694	2548	2243
SpliceEvents	2925400	3136953	2222514	2304786	2243757	2359720	1805834	1799680	2374456	2250480	2360821	2023604	2079089	2109869	1575812	2026970	2014475	2143713	2107751	2443511	1776403	2182018	2132601	2363462	2234638	2004280	2146604	2359614	1981635	2269874	1913498	1905780	2008476	1781227	1605758	2075058	2031020	2026036	1991265	1774351	2682870	2183119	3052233	2401419	2319374	1964068	1769938	2269854	1977297	1959006	1759771	1736712	1848485	1652917	1612057	1791283	2102317	1792442	1967924	2176485	1865930	1840576	2089006	2145084	2442771	1799104	1744099	2817934	2759017	1754355	1884047	2033215	1892001	1891421	2227901	2055514	2478350	1948231	1969932	1811555	1949309	1814660	2027992	2037048	1967078	1897493	2119254	2384111	2234674	2040795
SpliceEvents_KnownLoci	2834929	3042890	2166596	2244485	2186545	2298791	1763347	1757424	2318343	2199316	2294994	1968675	2021612	2045425	1530227	1972405	1961144	2085719	2053875	2375395	1732882	2130953	2081423	2307051	2182555	1958858	2094589	2304396	1933654	2216568	1856971	1846171	1949133	1732961	1562173	2021522	1979686	1974379	1935220	1729867	2611355	2126373	2970850	2333065	2258781	1903909	1715616	2199780	1918216	1900455	1703934	1679640	1789836	1598069	1560667	1740606	2041779	1740899	1913349	2113392	1814959	1791472	2032438	2089234	2378349	1756676	1701585	2744362	2688553	1713213	1837383	1983325	1844309	1841403	2171063	1999587	2413844	1896689	1919789	1763775	1894734	1763217	1972770	1980639	1914796	1846406	2063291	2320920	2174206	1987604
SpliceEvents_KnownLociWithFewReads	49899	48863	53605	53384	52761	72855	73698	74325	72089	72380	54251	54368	54362	54006	54191	58707	58394	57715	58820	57838	75470	72867	75699	74532	74645	78813	81592	81816	84073	82207	63672	63822	63099	65170	63094	59182	60599	58872	59759	60315	50185	53787	49262	52936	53387	122370	122038	119635	120364	121103	121837	123510	122834	122428	122082	65094	63455	64134	63255	61833	102965	101713	104056	101244	97967	90018	89183	87069	85766	89266	93089	80708	97437	95673	95425	95105	92484	93008	93236	93586	114317	116502	113055	115005	106199	58132	59332	59734	59726	58803
SpliceEvents_KnownLociWithManyReads	2785030	2994027	2112991	2191101	2133784	2225936	1689649	1683099	2246254	2126936	2240743	1914307	1967250	1991419	1476036	1913698	1902750	2028004	1995055	2317557	1657412	2058086	2005724	2232519	2107910	1880045	2012997	2222580	1849581	2134361	1793299	1782349	1886034	1667791	1499079	1962340	1919087	1915507	1875461	1669552	2561170	2072586	2921588	2280129	2205394	1781539	1593578	2080145	1797852	1779352	1582097	1556130	1667002	1475641	1438585	1675512	1978324	1676765	1850094	2051559	1711994	1689759	1928382	1987990	2280382	1666658	1612402	2657293	2602787	1623947	1744294	1902617	1746872	1745730	2075638	1904482	2321360	1803681	1826553	1670189	1780417	1646715	1859715	1865634	1808597	1788274	2003959	2261186	2114480	1928801
SpliceEvents_NovelLoci	90471	94063	55918	60301	57212	60929	42487	42256	56113	51164	65827	54929	57477	64444	45585	54565	53331	57994	53876	68116	43521	51065	51178	56411	52083	45422	52015	55218	47981	53306	56527	59609	59343	48266	43585	53536	51334	51657	56045	44484	71515	56746	81383	68354	60593	60159	54322	70074	59081	58551	55837	57072	58649	54848	51390	50677	60538	51543	54575	63093	50971	49104	56568	55850	64422	42428	42514	73572	70464	41142	46664	49890	47692	50018	56838	55927	64506	51542	50143	47780	54575	51443	55222	56409	52282	51087	55963	63191	60468	53191
SpliceEvents_NovelLociWithFewReads	29878	28963	17838	18377	17103	18091	13542	13923	16842	15068	16357	14323	14529	17587	13614	15166	14240	15752	14325	19113	12790	13489	14014	15273	14545	13001	15184	15290	14093	15330	18350	19043	18078	15802	14088	14753	14888	14343	14665	13222	20568	16529	22201	21241	18027	16997	16080	19084	17152	17069	14980	15965	16314	15214	14801	15981	19011	16576	17145	19631	13327	12958	14315	14017	14978	12663	12432	19170	17835	12017	12695	11619	13355	13550	14817	15285	16217	13734	13373	12774	15660	15467	16400	16783	14877	14817	15692	16771	16649	14444
SpliceEvents_NovelLociWithManyReads	60593	65100	38080	41924	40109	42838	28945	28333	39271	36096	49470	40606	42948	46857	31971	39399	39091	42242	39551	49003	30731	37576	37164	41138	37538	32421	36831	39928	33888	37976	38177	40566	41265	32464	29497	38783	36446	37314	41380	31262	50947	40217	59182	47113	42566	43162	38242	50990	41929	41482	40857	41107	42335	39634	36589	34696	41527	34967	37430	43462	37644	36146	42253	41833	49444	29765	30082	54402	52629	29125	33969	38271	34337	36468	42021	40642	48289	37808	36770	35006	38915	35976	38822	39626	37405	36270	40271	46420	43819	38747
StrandTest_frFirstStrand	4898563	4883610	3345705	3344771	3273776	3652459	2734849	2665124	3649887	3466443	4069668	3394745	3755377	4067400	3134308	3404611	3456609	3556410	3335726	4238154	2882146	3441511	3337609	3616915	3361764	2901907	3225756	3491638	2858985	3293460	3523063	3485686	3375481	2963375	2763768	3110038	3045285	3274512	3171965	2713605	3637594	3135797	4304712	3577719	3411837	2682055	2426384	3134175	2736995	2702601	2385870	2405086	2572074	2263941	2248094	3240311	3658638	3407143	3218302	3404181	2570050	2500366	2805977	2948618	3369432	2493434	2454935	4096382	3992357	2411652	2585745	2840561	2532339	2558736	2994794	3020328	3508386	2777785	2788526	2600928	2744033	2507482	2847869	2862751	2821211	2997208	3338131	3688163	3404079	3311584
StrandTest_frSecondStrand	49098	43146	19048	19579	17370	32478	18746	19880	28095	24196	32663	25703	29990	41548	30247	24962	22787	25652	19321	34320	22105	25328	23233	26420	23713	19599	26617	24609	20055	23074	29598	29031	23440	19154	17405	19765	19796	23511	24500	16955	23317	17561	27628	29353	20645	17249	15079	21583	18302	17742	15077	15527	16727	14673	14177	20493	25809	23187	19876	25356	15856	15077	16738	18137	22270	14451	15320	30643	28752	14620	15753	19246	14824	15905	18509	21090	23106	18875	17638	16496	17876	15607	18376	19666	19626	21406	22401	23401	21786	19518
StrandTest_ambig_genesFountOnBothStrands	61879	62678	45247	44135	43352	50451	38698	36841	51335	49914	50340	41298	45630	48347	36448	38977	40016	41221	38110	48164	43161	50605	49395	52399	49828	42573	48556	51505	41736	48164	56992	53752	53630	47490	44324	48892	49377	51223	50924	43882	44409	39404	53905	46569	42983	44806	39939	52251	45950	44557	42121	41355	44150	40124	39410	43180	48388	46494	42215	45891	44433	42952	47934	51071	59058	40107	39912	63616	62900	39041	42697	51480	41239	42008	49130	50442	58847	48139	46806	44444	44683	40604	47659	48068	48895	48218	53094	58823	55295	54881
StrandTest_ambig_noGenes	743585	736511	535644	508550	531753	776698	540436	626694	718096	684637	799182	685695	894949	829529	642314	788755	678538	667340	634269	713263	579930	598474	646049	611957	590940	588053	722872	654981	537006	592345	694880	662473	636295	568719	516888	552533	521309	543259	734172	485237	655063	483505	658481	858215	477149	505178	455746	595671	524688	506605	437602	482308	511598	429473	444745	632360	711888	808974	569088	586618	444508	416815	451391	494979	572811	373147	369492	605043	596117	356472	394651	437915	367894	386591	438124	575539	615944	487073	481820	457199	532526	469476	541603	564923	556453	713612	606422	713269	636737	638830
StrandTest_ambig_other	53	65	67	84	71	100	113	95	113	133	36	45	43	36	21	69	74	61	50	54	115	145	130	124	110	93	106	125	115	134	68	49	88	75	75	84	93	107	72	92	72	86	96	71	86	71	114	98	106	79	86	72	65	76	70	70	94	94	66	74	60	76	74	82	71	86	89	87	110	93	92	71	61	68	72	87	97	90	82	92	83	88	95	88	104	64	65	92	88	79
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NumberOfChromosomesCovered	576	602	528	539	534	727	687	667	723	718	452	431	453	461	440	484	483	478	482	500	678	682	713	709	701	678	718	726	718	722	664	652	669	642	623	608	638	635	651	610	517	507	525	535	511	764	742	789	774	771	738	759	766	726	766	653	675	669	645	647	725	701	705	738	737	714	682	758	743	674	705	687	686	702	691	751	743	702	719	713	765	736	755	774	745	624	630	641	621	618
READ_LENGTH	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
COMPLETED_WITHOUT_WARNING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COMPLETED_WITHOUT_ERROR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SpliceLoci_Known_Covered	117009	119200	110543	112855	112614	107602	99868	101866	106422	101931	88107	84957	84953	84470	77721	91734	92787	94103	95088	97921	95756	96725	102686	104285	102396	102369	109098	114011	112061	115938	92111	92252	94421	94763	87582	90959	91295	87762	86928	87676	114942	111469	117192	112165	112665	138200	133582	143161	137284	136790	128561	130857	133499	127669	125871	103114	107421	99409	106539	106564	116210	114985	122659	119126	118607	112282	109480	127949	123408	109746	112352	96254	117711	115825	120770	118721	122884	112603	113448	110342	129211	130325	132301	133016	120178	84586	88291	92648	91622	87416
SpliceLoci_Novel_Covered	26881	26271	16437	17066	16050	16445	12188	12556	15251	13771	14977	13097	13164	15767	12203	13801	13087	14359	13244	17206	11498	12454	12648	13895	13162	11655	13824	14043	12714	13986	16547	17024	16099	14242	12569	13268	13412	13012	13288	11868	19124	15657	20767	19493	16896	15066	13891	16891	15018	14982	13178	13991	14402	13318	12718	14604	17373	15000	15643	17963	11803	11612	12751	12605	13537	11295	11112	17602	16172	10790	11386	10698	11876	12039	13363	13774	14945	12388	12122	11621	13869	13575	14405	14711	12953	13291	14202	15220	14949	13065
SpliceLoci_Covered	143890	145471	126980	129921	128664	124047	112056	114422	121673	115702	103084	98054	98117	100237	89924	105535	105874	108462	108332	115127	107254	109179	115334	118180	115558	114024	122922	128054	124775	129924	108658	109276	110520	109005	100151	104227	104707	100774	100216	99544	134066	127126	137959	131658	129561	153266	147473	160052	152302	151772	141739	144848	147901	140987	138589	117718	124794	114409	122182	124527	128013	126597	135410	131731	132144	123577	120592	145551	139580	120536	123738	106952	129587	127864	134133	132495	137829	124991	125570	121963	143080	143900	146706	147727	133131	97877	102493	107868	106571	100481
InsertSize_Mean	159.637692238205	164.060676076015	184.772120091647	188.63374971299	185.730361027683	182.484104573845	190.379070209123	189.302176583431	186.484407500342	187.3977241234	175.700518489978	183.858822214001	178.129752924632	163.541537773187	162.714738421933	183.51012877435	183.003686936986	181.633267207271	185.67820681281	175.015768723531	187.036523211156	185.834478621132	187.827371469018	185.861121614486	189.325040049629	190.041254283433	183.425834612342	188.014541542495	189.651980804826	189.74316973005	172.671931507946	171.686485641394	185.964433736122	187.600256561436	187.266079078991	187.48435127458	191.025319033284	186.551892587436	184.572909671682	189.074381711908	187.785085419407	189.696474056395	179.938825480513	177.380118998182	186.551135183126	194.284053166424	192.77110394278	189.857174823446	190.535747654447	191.487631630837	195.309260226746	191.317390777176	191.88134133107	194.812703927714	192.444752241936	189.328051122471	186.407414168047	185.353873631933	187.441211531381	183.043089199104	190.88049230226	191.276565369382	191.678285310848	192.011757605056	185.346692609627	191.772846401837	189.346002481347	175.329009089471	175.672077401938	190.500943666508	189.727286404263	188.935518232323	191.380346965808	191.012803779708	190.267092712294	184.069830796346	186.723945656271	189.121348922918	190.849505116278	188.679014444704	190.87043585963	192.149917750464	193.387810414584	190.867418291602	192.409626725355	186.007592003871	185.84196182703	188.915346179798	189.211379879657	188.355648279038
InsertSize_Median	151	156	182	187	183	174	190	188	185	186	171	181	174	156	155	181	180	178	183	169	186	184	187	184	188	188	181	187	189	189	167	165	184	186	186	186	190	184	182	188	185	188	176	172	184	191	190	188	187	188	192	188	189	192	189	188	184	183	185	180	188	189	189	187	181	191	188	169	170	189	188	186	189	190	188	179	183	186	188	187	188	190	191	189	188	184	184	187	188	187
GC_byPair_Mean	94.1052333162645	95.834135287923	95.1137792402941	94.9460001087534	95.3364634399308	93.9928340719997	92.7005678637031	94.5169839403172	93.0891086415234	92.5665857971095	95.751389217327	94.9787589397529	94.2608854993103	93.5992199500287	92.7064392983391	94.6351382330986	93.522008687897	94.2627236123658	95.2911232742293	94.4795211717228	91.8295888511185	92.1741472372993	91.955374892516	92.6344652683553	92.3524612211293	93.1812818726291	92.9530513503418	92.4839227366869	93.1301898234678	92.7635769135422	92.5773731409717	92.4334185537147	93.208959841367	93.0222651190823	92.5818905835822	94.7558121647292	94.2187449461751	92.603895019591	95.2654137134186	93.8605368291208	97.5218806294297	94.8490400676975	96.5684277859556	96.6075625780293	95.0272231639133	92.2637578673209	92.078571472344	92.2319743686409	92.130773493171	92.3296134227334	92.4176483534183	92.2906208776952	92.1438198774158	92.3485425648777	92.0314054708254	92.6765888953753	93.8100850946169	92.661089920138	93.6003532363678	94.8473501521373	92.832381597232	93.0151982027946	93.3960535369948	92.9443540313138	93.666776765925	92.9373478592029	92.9954173073477	93.1550807993126	93.4796580770713	93.277622561996	93.0972083010578	93.2116342860077	93.7714775312995	93.5857571051654	93.5990400582295	92.2857115200985	93.0368934808553	92.7153707035074	92.6751992280363	92.8883304762598	92.0430830608879	92.3027158595529	91.8845726446506	91.90154415854	91.5824705937314	95.3868620301822	94.3338751920655	94.7500492891215	94.657218275443	93.475132003542
GC_byPair_Median	95	96	96	96	96	95	94	95	94	94	96	96	95	94	94	95	94	95	96	95	93	93	93	94	94	95	94	94	95	94	93	93	94	94	93	96	95	94	96	95	98	96	97	97	96	94	94	94	94	94	95	95	94	95	94	93	94	93	94	96	95	95	96	95	96	95	95	95	95	95	95	95	96	96	96	94	95	95	95	95	94	94	94	94	93	96	95	95	96	94
GC_byRead_Mean	47.0526166581323	47.9170676439615	47.556889620147	47.4730000543767	47.6682317199654	46.9964170359998	46.3502839318516	47.2584919701586	46.5445543207617	46.2832928985547	47.8756946086635	47.4893794698765	47.1304427496552	46.7996099750143	46.3532196491696	47.3175691165493	46.7610043439485	47.1313618061829	47.6455616371147	47.2397605858614	45.9147944255593	46.0870736186497	45.977687446258	46.3172326341776	46.1762306105646	46.5906409363146	46.4765256751709	46.2419613683434	46.5650949117339	46.3817884567711	46.2886865704859	46.2167092768574	46.6044799206835	46.5111325595412	46.2909452917911	47.3779060823646	47.1093724730875	46.3019475097955	47.6327068567093	46.9302684145604	48.7609403147149	47.4245200338488	48.2842138929778	48.3037812890147	47.5136115819566	46.1318789336605	46.039285736172	46.1159871843204	46.0653867465855	46.1648067113667	46.2088241767092	46.1453104388476	46.0719099387079	46.1742712824388	46.0157027354127	46.3382944476877	46.9050425473085	46.330544960069	46.8001766181839	47.4236750760687	46.416190798616	46.5075991013973	46.6980267684974	46.4721770156569	46.8333883829625	46.4686739296015	46.4977086536739	46.5775403996563	46.7398290385357	46.638811280998	46.5486041505289	46.6058171430039	46.8857387656497	46.7928785525827	46.7995200291148	46.1428557600493	46.5184467404276	46.3576853517537	46.3375996140182	46.4441652381299	46.021541530444	46.1513579297765	45.9422863223253	45.95077207927	45.7912352968657	47.6934310150911	47.1669375960327	47.3750246445608	47.3286091377215	46.737566001771
GC_byRead_Median	47	48	48	48	48	47	47	48	47	47	48	48	48	47	47	48	47	48	48	48	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	48	48	47	48	48	49	48	49	48	48	47	47	47	47	47	47	47	47	47	47	47	47	47	47	48	47	48	48	48	48	47	47	48	48	48	48	48	48	48	48	47	47	47	47	47	47	47	47	47	47	48	48	48	48	47
GeneBodyCoverage_Overall_Mean	0.522110032095298	0.514968178474684	0.527040979858694	0.517908407884395	0.520312163505534	0.538876403876217	0.537049635339997	0.536211331890832	0.542568520147462	0.546844261644801	0.535208913827839	0.529597992872011	0.543587776143549	0.538343276019649	0.539502464308142	0.545348120694298	0.532542186973004	0.532418619322643	0.534605910243687	0.531090421468839	0.563870731877113	0.564527775052748	0.558209610404707	0.552731382939218	0.554974203792972	0.543024401501488	0.549115612359241	0.542011281833651	0.536540320185102	0.536885012744002	0.542565913929172	0.53344311289191	0.528274871892171	0.533427821238522	0.539803726099916	0.519530522376715	0.520773051133523	0.503536591964614	0.538328906985014	0.521190251549951	0.508299345378997	0.51306867777076	0.508710563996553	0.524076076834814	0.518843106251939	0.522364313292793	0.51783684943106	0.524411336705151	0.523939669926686	0.522480471033739	0.52332861174839	0.525365974309115	0.524111090217436	0.522509736083402	0.525596521396619	0.543422941468369	0.540689156160937	0.565839689673978	0.524368019709822	0.526258992351877	0.532450979630549	0.528428651730628	0.524995829258448	0.533924451853931	0.538484545898335	0.524700604934479	0.530519014230815	0.524435830415765	0.532116732871757	0.529452814570227	0.5325041894787	0.560203227764164	0.517339189595165	0.523360711994197	0.521922907817135	0.537853827221648	0.53715631752509	0.541117052045107	0.540264882342081	0.540701642261161	0.533762005753631	0.523998737363039	0.529443150549516	0.529129258426223	0.543441961266433	0.527588357850385	0.525459866550616	0.517461200738265	0.518035972820915	0.533775841228378
GeneBodyCoverage_Overall_Median	0.5375	0.5125	0.5375	0.5375	0.5375	0.5625	0.5375	0.5375	0.5625	0.5625	0.5375	0.5375	0.5625	0.5625	0.5625	0.5625	0.5375	0.5375	0.5375	0.5375	0.5875	0.5875	0.5875	0.5625	0.5625	0.5625	0.5625	0.5625	0.5375	0.5375	0.5625	0.5375	0.5375	0.5375	0.5625	0.5375	0.5375	0.5125	0.5625	0.5375	0.5125	0.5125	0.5125	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5625	0.5625	0.5875	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5625	0.5375	0.5375	0.5375	0.5375	0.5375	0.5375	0.5875	0.5125	0.5375	0.5375	0.5625	0.5375	0.5625	0.5625	0.5625	0.5375	0.5375	0.5375	0.5375	0.5625	0.5375	0.5375	0.5125	0.5125	0.5375
GeneBodyCoverage_LowExpress_Mean	0.502044851496064	0.493976977682785	0.505934490918338	0.498080943089571	0.501690968200884	0.540477111781755	0.544248070843029	0.540066209380775	0.547044333118187	0.554657182646491	0.509571065173851	0.507637006322281	0.519430578791951	0.517300104532706	0.527499886777285	0.522651857191638	0.515345395043541	0.51542381074698	0.512357361450657	0.508058297498846	0.569405902077477	0.573073887142148	0.567462622666034	0.55945676012047	0.560285489066574	0.557030053984369	0.557655921943725	0.551271526770906	0.543114438059329	0.541148526688693	0.536888465211192	0.531952757446127	0.531102670819609	0.530605886968552	0.537807803489165	0.5237369692017	0.5258944427922	0.52554561154749	0.5379244532411	0.528684739612279	0.488366530292497	0.497581100374257	0.489895991658443	0.499593804389354	0.497411122000488	0.521697327530313	0.518841286070881	0.522596462888987	0.524369484237222	0.521880946496973	0.523879716981132	0.523602925792563	0.525932591083097	0.523336880207051	0.525249924121709	0.531219255658242	0.526261667283439	0.544580182175239	0.515197022314052	0.517288610260397	0.536643905532902	0.533799791265613	0.528897776340102	0.53712473047459	0.542862005913477	0.533153734525489	0.537312926062738	0.527220653901125	0.536195499631312	0.535586146079415	0.541277126547628	0.572396756225876	0.522968595084448	0.529704595346976	0.527165666696052	0.546797312626674	0.543327022644777	0.550318973430604	0.549545411974389	0.550689415634557	0.533600831011167	0.52711844269496	0.530439529609342	0.528976101838202	0.547022861158323	0.531084817316158	0.528334910404858	0.523105242636914	0.523171540467634	0.537432078652214
